Open,High,Low,Close,Adj Close,Volume
27.84749984741211,27.860000610351562,26.837499618530273,27.332500457763672,24.26105308532715,212818400
27.072500228881836,27.162500381469727,26.352500915527344,26.5625,23.57757568359375,257142000
26.635000228881836,26.857500076293945,26.157499313354492,26.565000534057617,23.579790115356445,263188400
26.799999237060547,27.049999237060547,26.674999237060547,26.9375,23.910438537597656,160423600
27.3075008392334,28.037500381469727,27.174999237060547,27.97249984741211,24.829126358032227,237458000
28.167499542236328,28.3125,27.552499771118164,28.002500534057617,24.855758666992188,214798000
28.149999618530273,28.157499313354492,27.200000762939453,27.3125,24.243295669555664,198603200
27.857500076293945,28.200000762939453,27.227500915527344,27.55500030517578,24.45854377746582,268367600
27.260000228881836,27.622499465942383,27.125,27.450000762939453,24.365337371826172,195826400
27.5,27.514999389648438,26.665000915527344,26.704999923706055,23.704059600830078,240056000
26.75749969482422,26.895000457763672,26.299999237060547,26.497499465942383,23.519882202148438,314053200
26.959999084472656,27.24250030517578,26.625,27.18000030517578,24.12568473815918,199599600
27.237499237060547,27.764999389648438,27.0674991607666,27.387500762939453,24.30986785888672,194303600
27.565000534057617,28.11750030517578,27.43000030517578,28.100000381469727,24.942302703857422,215185600
28.075000762939453,28.4375,27.88249969482422,28.2450008392334,25.071008682250977,185859200
28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530273,25.097631454467773,222460000
28.104999542236328,28.1200008392334,27.25749969482422,27.28499984741211,24.218887329101562,382274800
29.407499313354492,29.530000686645508,28.827499389648438,28.827499389648438,25.588050842285156,585908400
29.079999923706055,29.797500610351562,28.889999389648438,29.725000381469727,26.38469123840332,337745600
29.600000381469727,30.0,29.212499618530273,29.290000915527344,25.998577117919922,334982000
29.512500762939453,29.792499542236328,29.020000457763672,29.657499313354492,26.32478141784668,250956400
29.625,29.772499084472656,29.40250015258789,29.662500381469727,26.329212188720703,207662800
29.625,30.127500534057617,29.577499389648438,29.889999389648438,26.531150817871094,280598800
30.0049991607666,30.0575008392334,29.8125,29.985000610351562,26.72052001953125,168984800
30.0049991607666,30.0625,29.612499237060547,29.732500076293945,26.495508193969727,174826400
29.637500762939453,29.959999084472656,29.607500076293945,29.93000030517578,26.671504974365234,155559200
30.042499542236328,30.537500381469727,30.040000915527344,30.5049991607666,27.18389892578125,248034000
30.6924991607666,31.229999542236328,30.625,31.219999313354492,27.82106590270996,294247200
31.514999389648438,31.8700008392334,31.392499923706055,31.614999771118164,28.17306137084961,297898000
31.81999969482422,31.81999969482422,31.412500381469727,31.770000457763672,28.311187744140625,217088800
31.872499465942383,32.220001220703125,31.729999542236328,31.957500457763672,28.478269577026367,252609600
31.907499313354492,32.19499969482422,31.862499237060547,32.18000030517578,28.676544189453125,179566800
32.119998931884766,32.25749969482422,32.08250045776367,32.11249923706055,28.61639404296875,149449600
32.154998779296875,32.375,32.01250076293945,32.375,28.850318908691406,195793600
32.505001068115234,33.25,32.415000915527344,33.25,29.63003921508789,283896400
33.23500061035156,33.400001525878906,32.79249954223633,33.04249954223633,29.44515609741211,276912400
32.88999938964844,32.900001525878906,32.037498474121094,32.1974983215332,28.692138671875,298846800
32.1974983215332,32.717498779296875,31.65250015258789,32.60499954223633,29.055273056030273,365150000
32.5,32.64250183105469,32.060001373291016,32.1150016784668,28.61862564086914,248059200
32.3125,32.56999969482422,32.07500076293945,32.272499084472656,28.758974075317383,192386800
32.2400016784668,32.380001068115234,32.022499084472656,32.34000015258789,28.81913185119629,151265200
32.275001525878906,32.38999938964844,32.08000183105469,32.1349983215332,28.636442184448242,126665200
32.14500045776367,32.1875,31.440000534057617,31.602500915527344,28.161916732788086,226068400
32.099998474121094,32.342498779296875,31.565000534057617,31.649999618530273,28.204246520996094,291368400
31.989999771118164,32.39250183105469,31.264999389648438,31.78499984741211,28.324542999267578,354114000
31.602500915527344,31.80500030517578,30.950000762939453,31.127500534057617,27.738628387451172,275426400
31.1875,31.1924991607666,30.52750015258789,30.559999465942383,27.2329158782959,275756000
30.577499389648438,31.225000381469727,30.407499313354492,31.112499237060547,27.725265502929688,193450800
31.100000381469727,31.350000381469727,30.645000457763672,30.897499084472656,27.533672332763672,207309200
30.969999313354492,31.237499237060547,30.717500686645508,31.237499237060547,27.83665657043457,143497200
31.475000381469727,31.829999923706055,31.412500381469727,31.760000228881836,28.302270889282227,204092400
31.75,32.290000915527344,31.592500686645508,32.11750030517578,28.620845794677734,261083600
32.1875,32.3125,31.850000381469727,31.875,28.40475082397461,183238000
32.0625,32.099998474121094,31.290000915527344,31.475000381469727,28.04829978942871,274780400
31.780000686645508,31.962499618530273,31.6299991607666,31.802499771118164,28.340145111083984,150838800
31.8075008392334,32.0099983215332,31.639999389648438,31.672500610351562,28.22429656982422,131369200
31.635000228881836,31.704999923706055,30.844999313354492,30.844999313354492,27.48689079284668,206620800
30.690000534057617,31.219999313354492,30.649999618530273,31.059999465942383,27.678485870361328,190291600
31.142499923706055,31.174999237060547,30.727500915527344,30.8125,27.45792579650879,158184800
31.012500762939453,31.600000381469727,31.0,31.592500686645508,28.153005599975586,188398800
31.522499084472656,31.622499465942383,31.09000015258789,31.107500076293945,27.72080421447754,168362400
31.204999923706055,31.280000686645508,30.774999618530273,31.0625,27.680713653564453,162485600
31.25749969482422,31.389999389648438,31.047500610351562,31.329999923706055,27.91908836364746,128880400
31.11750030517578,31.877500534057617,31.082500457763672,31.837499618530273,28.371334075927734,148776000
31.90999984741211,32.029998779296875,31.4950008392334,31.502500534057617,28.072805404663086,140049200
